campaign,year,page,platform,media_type,category_l0,category_l1,category_l2,url,content,cost_nzd,views,hours,engagement
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1939184523514156/,that moment. ☝🏼,,345503.0,967.7753,13957.0
Organic | Website,2025,All Blacks,FB,Short Video,Social,Moments,Field actions,https://www.facebook.com/reel/1745245499707757/,that offload… 👀🤌🏼,,1981537.0,3965.6261,24326.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/743271011627713/,that run-out 🔥🔥,,388763.0,627.0989,15660.0
Organic | Website,2024,All Blacks,FB,Short Video,Sponsored,Tudor,Tudor Daring Play,https://www.facebook.com/reel/1144848569918392/,that set piece move 👌 @gaaalebglaaarke with the finish 🔥 #allblacks #tudordaringplay,,204415.0,511.3517,5074.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/8083359628353522/,that sound though 😮‍💨🤌🏼,,591772.0,1606.1597,11404.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/864832975436756/,that summer sun ☀️ #allblacks #ethanblackadder,,0.0,0.0,0.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/742141317983358/,that touch by @jordie_barrett 🫡 #allblacks #nzlvarg,,318628.0,684.4538,6906.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/828606412456804/,"that’s right, a forward putting in a cross-kick. can’t believe it worked 😂 #allblacks",,575255.0,1360.4269,5657.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1220193492750003/,the 23 are locked in. 👾 who are you most excited to see take to the grass?!,,190866.0,610.2769,3939.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/4274602929484542/,the 23 to take on ireland in chicago 🇺🇸,,279712.0,905.4118,6994.0
Organic | Website,2023,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/145259914943790/,the all blacks and black ferns take on the stack challenge 📚 healthspan elite are the official sports nutrition partner of the all blacks and black ferns 💪,,0.0,0.0,0.0
Organic | Website,2024,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/510767638665747/,the final episode of together we walk has just dropped 🥹 watch it here: https://bit.ly/twwfinalepisode,,53792.0,111.0216,1267.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1169963635015384/,"the gallagher cup. the rematch 😤 🏉 all blacks v ireland ⏰ 1 november, 3pm cdt 📍 soldier field, chicago",,86800.0,109.2721,2027.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1162593139058185/,the garden 🖤 bring on saturday!,,528989.0,925.3566,11581.0
Organic | Website,2024,All Blacks,FB,Short Video,Sponsored,Altrad,All,https://www.facebook.com/reel/502768809588973/,"the harrower family ☘️ born irish, with an all black mega fan among them 🖤 watch our full chat now 👉 https://bit.ly/402z9rl #allblacks #altradmegafans",,71754.0,134.9173,796.0
Organic | Website,2023,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1414054259143595/,the leicester and tupou show 🎥 to see everything they got up to watch today’s episode of the front row daily show on nzr+,,0.0,0.0,0.0
Organic | Website,2024,All Blacks,FB,Short Video,Social,Teams Promo,All Blacks,https://www.facebook.com/reel/1824550214616972/,"the man, the myth, the legend 🙌 everyone's best friend 🖤 gonna get you right in the feels this one 🥹 check out episode 3 of in their own words 2 now live on nzr+ and youtube! stream free on nzr+ now: https://app.nzrplus.com/home watch episode 3 on youtube: https://bit.ly/itow2-ep3 #allblacks #bestfriendday",,70696.0,103.0315,1145.0
Organic | Website,2025,All Blacks,FB,Short Video,Social,Teams Promo,Maori AB,https://www.facebook.com/reel/733728429234184/,the māori all blacks laying down the challenge against japan xv with a powerful haka!,,893947.0,4919.9163,26217.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/607699852004559/,the return 😤 good to have you back @anton_lb ☝🏼,,60007.0,76.0744,1408.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1424322815346877/,"the rugby championship, 24 hours to go… ⏰ rewrite it.",,59449.0,52.5029,1151.0
Organic | Website,2023,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/5726654524104964/,the accuracy @beaudenbarrett 🎯,,0.0,0.0,0.0
Organic | Website,2024,All Blacks,FB,Short Video,Sponsored,SAP,SAP Best Run,https://www.facebook.com/reel/858654372826503/,the alternate angle of this try is beautiful to watch 😍 #sapbestrun #allblacks,,136586.0,281.9352,3759.0
Organic | Website,2025,All Blacks,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/704502725792478/,the bank is open 💥 rieko opens his 2025 try scoring account with a great finish in the corner!,,455730.0,820.9709,8778.0
